,x,y,z
485,2.43994652,0.77681033,-0.22318967
486,2.44496699,0.77839478,-0.22160522
487,2.44998746,0.77806299,-0.22193701
488,2.45500792,0.7790965,-0.2209035
489,2.46002839,0.77933009,-0.22066991
490,2.46504885,0.77960824,-0.22039176
491,2.47006932,0.77732488,-0.22267512
492,2.47508979,0.77601361,-0.22398639
493,2.48011025,0.78481437,-0.21518563
494,2.48513072,0.78569513,-0.21430487
495,2.49015118,0.79121703,-0.20878297
496,2.49517165,0.78518624,-0.21481376
497,2.50019212,0.79350946,-0.20649054
498,2.50521258,0.7931419,-0.2068581
499,2.51023305,0.80326612,-0.19673388
500,2.51525352,0.80410776,-0.19589224
501,2.52027398,0.80755481,-0.19244519
502,2.52529445,0.80995371,-0.19004629
503,2.53031491,0.81173161,-0.18826839
504,2.53533538,0.81806648,-0.18193352
505,2.54035585,0.82238427,-0.17761573
506,2.54537631,0.82433001,-0.17566999
507,2.55039678,0.82875173,-0.17124827
508,2.55541724,0.83013513,-0.16986487
509,2.56043771,0.83801056,-0.16198944
510,2.56545818,0.84167282,-0.15832718
